reviewerID,asin
2393,92
581,617
1898,739
1350,614
1261,780
2108,1135
622,1526
1276,1088
1663,1069
970,314
876,739
2220,1069
1996,1361
2125,1278
285,734
3669,31
1105,697
3246,8
1933,1526
1481,188
1494,1435
578,648
674,491
1889,834
2074,113
2815,648
3170,1223
577,686
3125,160
2804,597
2688,734
1017,340
2834,1419
1891,689
2382,1567
285,734
1792,38
1006,973
824,934
3378,878
2758,460
2655,1372
3656,1554
2614,323
435,1502
236,1414
439,1517
2716,1019
1194,597
1682,182
2393,149
3082,297
703,968
2272,1353
3735,1572
1808,734
362,186
1670,1419
800,196
1340,1435
253,989
88,1557
1040,265
756,717
3540,251
1933,1526
2080,1191
2520,303
2390,599
2939,753
52,935
3290,739
3152,238
2180,962
2927,1099
1121,723
2368,734
884,1572
622,292
1579,251
134,575
2954,1526
232,934
1116,648
2634,1143
2386,496
1390,10
3757,1415
1764,174
2824,943
1207,663
2776,580
1855,599
1671,779
3437,557
1256,135
786,307
1552,60
607,767
1253,648
1892,482
1422,379
1193,225
2605,1079
1018,275
1411,612
389,260
2600,712
3561,1268
2205,1024
1749,1382
950,180
944,1346
2127,1414
2454,159
3757,1541
686,169
2900,515
1360,1495
3290,1419
1326,244
1198,1352
1909,739
311,1065
139,1019
2312,1501
2969,1030
2810,1323
1891,493
2986,1241
2641,1462
2244,1192
1359,1436
1722,358
3787,151
1920,1019
1472,857
2209,857
62,1213
1933,1049
1777,960
2078,1471
3502,86
2559,248
259,1443
3340,854
1843,934
3109,934
2714,739
1817,1005
1808,734
3114,121
1816,403
1238,973
550,238
2716,42
1666,388
1276,877
199,293
1355,626
611,1345
1324,12
2525,917
1466,1333
127,506
2646,454
358,734
3587,576
1529,734
3075,1344
3170,1463
3276,722
442,1161
1389,1170
369,613
2014,786
667,1317
1222,734
730,341
1529,734
442,572
2172,74
3727,960
3792,297
1953,326
1482,464
1420,1025
786,722
2362,888
1280,1358
3236,1425
1706,580
3385,570
3782,711
135,1471
829,1419
3751,293
1066,209
2149,522
1381,1496
245,432
2067,104
1848,1438
1938,631
3300,1483
1411,1500
3310,297
481,1469
3274,1305
2278,912
3398,570
618,1414
146,504
1516,1095
3264,989
3791,940
2969,106
2595,149
1170,196
498,250
3358,1224
1865,388
3299,163
472,1019
1789,450
3122,348
1266,196
2101,1572
3337,619
2292,837
1359,1365
140,648
1869,314
3235,917
3800,1402
2228,645
3135,597
1237,352
3280,1496
2768,756
1581,83
3786,391
287,131
1077,1088
576,648
3766,430
2897,769
2402,94
1696,1521
3713,1416
337,1402
1086,322
3083,341
2453,322
438,725
934,1374
770,1514
3470,276
150,1168
3179,23
2156,490
617,1161
3791,1254
3175,291
1871,1479
1287,67
383,241
722,1394
820,589
1580,1345
1826,597
125,734
589,583
2727,452
871,480
1571,155
1421,1069
2951,900
2836,648
1559,718
1092,1572
3382,493
3175,1490
1529,734
387,597
3507,293
266,817
2235,885
535,307
302,335
2506,1122
3496,871
1045,1019
529,379
3206,934
1161,432
1528,265
712,329
285,734
3039,432
3355,1319
3057,629
3166,1414
3380,448
2453,378
2921,976
852,546
322,836
391,600
3600,99
718,379
3755,297
1341,1318
1459,717
2497,1396
1596,648
3453,960
2253,648
948,832
142,597
3637,194
2793,379
2978,1277
238,1265
976,1414
541,42
2957,1161
2347,1572
3504,519
3564,634
3695,726
160,31
158,1523
1078,934
3376,464
1359,536
2900,1168
2853,1414
3253,734
2848,58
1835,597
2645,1316
2595,788
409,202
1257,488
145,1419
1427,1528
2225,1306
1778,379
3077,1460
2132,597
34,49
3264,318
407,1572
956,1386
1229,9
2839,271
548,831
681,196
2224,608
264,565
676,318
2293,1489
841,134
3120,648
2005,376
2824,1218
2196,827
2887,1419
1240,1428
191,889
3543,1102
94,1415
3041,734
1395,1442
1222,734
2908,1551
3663,250
413,1118
3773,991
1808,734
893,1192
1133,689
3127,1355
2478,648
1078,1546
835,44
1748,1576
3670,416
171,489
580,1572
3253,734
38,1291
1824,1555
2604,1274
1777,955
1660,227
3087,432
678,934
3317,1175
3416,2
3139,1099
1737,326
1484,1496
535,668
189,102
3704,276
871,49
2887,1019
1744,1083
3157,1578
2844,1068
2373,195
281,733
3102,697
536,587
1783,1557
2573,744
2727,222
1584,102
2063,900
2645,1372
3118,519
683,1019
3412,312
1882,42
2176,800
1745,161
2729,831
3253,734
2419,696
1634,1296
17,1414
2186,1517
2595,292
2383,249
1837,1567
583,801
2165,397
82,934
1999,1019
3079,441
1207,486
1996,946
204,1108
492,945
1824,1416
413,1497
1028,433
957,1034
1930,297
3356,942
641,1361
2358,934
2741,686
3119,314
1750,1572
3,374
3569,805
1495,222
1089,1083
563,656
923,1458
2765,78
550,379
2834,251
1151,434
3669,537
808,1414
3170,6
183,971
1748,591
3043,985
280,1365
1343,1419
2434,433
1791,316
2411,597
1103,900
2496,1001
139,42
3300,1129
78,198
372,300
2730,943
2497,336
307,497
1507,631
714,542
2969,839
1427,446
1297,1091
2196,1209
296,229
76,1
1232,597
3389,1526
698,170
1188,1553
3213,293
3464,681
1145,293
3749,786
2435,934
1202,1066
2871,887
1722,1227
881,754
2403,257
622,400
1921,1178
3060,490
3563,995
583,72
2394,346
1222,734
2396,1246
3703,1496
1062,1419
2750,1113
2863,5
3315,117
2685,1325
946,764
385,619
3077,886
3503,42
124,876
232,597
2154,1260
1362,997
2420,1108
1693,724
1300,1205
2412,586
49,1453
852,1291
1004,437
1154,648
3253,734
962,196
2612,1446
2688,734
2440,388
125,734
1808,734
93,1343
172,1019
3163,222
1444,597
1889,1287
3547,147
791,887
158,1164
3130,40
3069,1126
2198,1414
2020,1449
1853,597
2326,318
642,1171
3474,597
285,734
3708,886
191,468
2366,358
358,734
1236,1204
2273,28
3520,32
1005,1317
3491,91
2221,681
195,1290
367,417
481,748
26,231
2832,749
2205,1023
652,1253
2413,580
1808,734
529,86
1222,734
373,951
1691,222
3739,443
2719,693
362,1306
2551,798
2260,575
2790,1419
3637,1567
1993,1452
1643,1474
957,1085
1546,467
3038,834
1152,362
9,1347
3182,934
2272,1069
492,967
181,833
84,1021
2862,296
1397,1128
160,575
3722,307
959,42
113,885
3668,597
3599,934
236,1388
2302,1178
642,605
481,1269
1089,992
2240,1164
3396,185
1283,1311
3613,934
1509,1224
3762,1177
3042,314
2196,724
1108,648
1494,934
3045,1279
2695,105
3362,1224
2958,88
3167,1033
358,734
1171,733
660,225
2603,42
2602,585
1981,1113
1419,383
3041,734
1733,399
1426,597
439,761
1617,1088
377,1335
2790,42
1668,446
2981,40
524,712
870,307
926,597
1028,656
3311,1324
2543,595
2185,283
431,194
1771,1541
2503,1161
