reviewerID,asin
2166,508
2002,135
793,375
124,368
3743,428
1666,622
1791,462
511,1414
832,1311
3097,58
966,946
3164,129
1162,330
1836,1352
654,969
446,1481
1148,1399
3205,294
3212,1222
3104,909
1620,1115
676,399
200,1122
133,757
1278,1203
1343,735
264,1083
3743,1425
812,1191
2439,1013
3153,1234
2942,854
3792,1159
1599,1002
2802,812
360,378
1545,1056
1845,79
2416,175
451,1234
795,425
3027,1169
1425,563
1895,509
321,1186
836,727
25,698
1428,1347
1394,280
2626,104
653,236
1274,1574
2515,1029
575,765
3041,101
2845,969
548,374
940,1261
1600,105
492,831
2548,938
585,1269
3541,993
1345,971
2081,1469
1508,984
2060,413
483,8
1204,238
2813,716
2514,1083
2785,751
665,494
2947,798
3382,1359
2779,475
132,171
1236,1230
3463,892
1013,564
3739,21
2205,541
2824,962
1604,1099
749,961
347,1197
2596,460
3660,315
225,675
731,1154
2485,1061
531,1214
608,941
700,296
1963,1056
2219,1286
1347,1484
650,721
3478,822
3009,170
3324,463
2367,593
2297,1073
3346,26
111,168
2275,485
736,228
2762,1326
717,819
445,1334
1077,174
2935,1002
3061,1068
2332,1288
2634,307
382,305
1298,1470
1187,640
3619,270
1698,625
2893,395
343,1576
913,701
2840,1492
1428,464
2646,164
2564,863
787,247
111,1383
2038,1149
1058,1431
2956,1463
3649,881
3081,1225
619,1298
3322,643
3549,300
3737,963
1984,680
999,148
2265,209
2954,469
1643,1338
946,1574
3159,118
3380,123
976,184
1907,1466
1495,1462
985,359
3217,1169
648,518
621,1219
3466,371
1687,222
2600,1090
1653,1357
1644,1479
2213,929
2367,281
529,554
2294,1554
2047,326
2715,21
1532,612
3414,812
2232,762
3,1502
593,1563
2254,904
2080,1239
224,399
3777,910
3473,1521
153,746
3410,1091
1555,1223
191,1032
146,1379
2986,530
1243,1245
2729,703
1460,1023
2315,343
2061,59
381,351
2045,292
845,196
26,560
1570,1178
3674,874
2271,214
3486,286
110,1300
2390,1144
187,1139
939,1342
1322,1258
1742,367
2070,257
2037,161
3116,1002
2628,755
2946,1532
1794,356
803,536
3373,335
2028,274
3405,422
815,400
1043,507
2175,867
267,418
3267,1053
2279,925
