reviewerID,asin
3769,1048
703,882
2913,254
2616,474
1177,1560
404,731
2376,1242
439,409
17,1482
272,1148
1216,1255
392,993
619,1218
121,747
457,803
1577,1552
408,1313
3102,513
2585,221
1606,468
2251,979
2374,468
2424,1498
3812,1304
606,580
163,610
3300,557
42,206
733,1207
5,1019
236,61
123,919
3215,442
2164,667
1244,659
2682,240
1851,1115
3543,247
2315,674
1429,172
3699,443
3662,276
155,389
2255,1512
3594,746
3517,993
1601,153
1494,153
2660,426
1846,795
1522,908
1381,61
3473,742
1262,844
2403,916
3070,194
327,1459
731,800
2231,981
1013,395
68,62
1638,1210
1088,881
105,1109
3417,813
3726,1119
1752,1564
3570,1223
1247,193
114,842
2802,250
3467,1245
2913,1466
1068,1046
3319,1336
2465,193
133,144
2359,1132
3133,1408
1743,1401
2742,1371
1453,562
143,764
2786,1214
1811,1421
626,1324
2962,742
2960,289
1105,616
1093,359
546,207
2914,1532
974,1534
2520,496
2238,1053
1065,1232
1091,126
3721,1087
3100,760
2209,566
2378,1193
1033,151
1516,1552
2979,266
1817,1516
1504,1318
2015,618
2069,568
3581,1035
2083,989
877,852
1995,428
102,837
3805,1007
3644,938
2819,203
3426,1446
1970,310
3328,785
1690,278
1399,199
2110,702
3227,356
3184,1352
2568,49
1412,342
1886,75
629,597
638,1402
740,354
1365,946
3815,1406
1399,943
1074,973
871,467
1325,1084
2525,1104
3732,645
509,1258
1206,34
635,415
374,1419
2631,431
2111,406
48,1111
804,373
2907,1455
1842,733
0,969
3784,38
1635,1186
846,908
1954,1264
3068,1205
2045,998
1052,897
1560,653
3530,1000
874,1102
2824,1426
1701,213
1685,585
2402,97
31,1495
3512,878
932,1207
2506,549
2693,1335
2099,1169
2706,1249
3280,466
3410,1173
273,20
1029,298
2364,1208
3744,110
1880,926
1103,1039
542,1380
2300,397
1901,1478
2123,1113
2848,334
863,1095
3274,1213
3162,874
1352,942
1553,1181
3717,1360
2954,330
3310,525
3598,1135
1778,585
3517,166
412,1126
3098,1010
542,912
3679,102
2044,577
3238,737
1083,632
591,46
2004,566
2983,510
1706,484
1420,443
2955,337
2817,1339
1732,1198
3753,1449
3481,317
3715,387
388,20
2267,1226
3650,111
3636,28
1481,112
360,50
3573,1445
1222,1544
673,121
2864,311
2715,560
2983,1054
720,1292
1092,1103
2389,549
172,704
929,1139
1034,1409
1357,1541
1331,1299
2929,1221
223,668
2719,1481
2627,33
1114,38
1,846
2292,1417
2451,1297
2331,489
1577,1553
2808,1486
2893,1461
367,174
3662,155
1290,1231
2037,85
3342,1411
2412,1070
3320,908
1422,467
2859,413
1422,838
2917,134
2368,1073
1561,1329
3270,776
2004,1278
2110,1031
3254,659
1761,594
1655,1300
1571,1527
3361,1505
3335,1028
2112,843
3316,156
2197,1052
540,722
520,1398
2586,140
2863,391
1032,902
190,139
1504,279
3314,1487
1222,944
1085,279
2679,1575
3028,880
1221,484
2166,1517
3333,1440
2923,347
1698,968
2745,427
1457,613
1922,1579
2962,156
3781,233
2261,342
529,1544
2899,434
2056,236
3688,857
949,392
180,1405
3606,799
903,505
2383,869
3680,304
3553,205
3547,947
1403,308
639,662
3686,1512
1175,724
385,577
982,440
1102,985
1721,710
1367,486
3031,666
2215,151
2550,603
3634,1287
2492,197
2586,1370
1678,857
2932,112
2402,1410
1534,689
1708,738
2617,591
2803,1506
464,686
2012,670
1483,244
3595,1289
543,502
2280,1547
1907,145
1314,419
1562,1565
1499,838
434,1078
225,1487
2001,196
794,410
1210,1202
999,378
2794,436
234,896
3360,1249
1948,1425
3754,1402
1171,689
2959,1118
720,545
2661,1565
219,253
3314,513
560,1518
3376,946
1163,1185
1160,488
747,422
480,431
1587,1567
1607,1212
1824,685
3617,1516
3195,163
3595,173
935,725
1942,121
887,1306
277,117
2815,1513
990,1065
1361,702
1352,1554
428,11
1499,1147
969,1389
436,677
138,1023
1313,418
2716,952
1910,1299
2019,140
2951,967
435,241
3339,1470
3455,949
2046,15
958,40
3205,555
1999,340
809,1221
3052,759
3547,964
543,984
2584,1020
1784,513
3476,942
3781,1017
692,875
1434,1433
2401,235
2699,1370
1600,526
1387,1195
571,4
3802,980
524,294
2279,800
3302,429
1753,1139
3057,381
1505,133
2140,798
3429,1469
1196,843
1163,527
2032,633
826,196
182,604
1937,1522
1592,1331
1058,409
3398,145
696,1034
2217,729
1349,991
1765,1224
1833,670
2296,243
1358,1049
617,800
3253,1136
2924,48
2455,848
1115,1125
3776,27
2797,542
2401,9
2220,1029
862,889
3404,341
2593,1045
1086,140
769,535
1008,569
1950,868
3481,1395
2367,683
3547,225
2480,548
1538,118
1970,125
2671,182
1783,1397
508,257
302,1345
2736,149
3215,1499
2778,101
23,697
215,1127
1117,785
3576,707
1521,344
286,765
2962,23
3101,1446
3540,1459
3399,1491
3807,588
1575,446
2586,88
3691,1491
2993,67
2533,970
1827,308
1991,960
1453,1095
59,555
247,822
2449,1166
980,1201
3748,885
561,1042
2877,1516
3634,308
517,888
211,318
2640,636
174,144
1431,853
2061,542
248,133
1279,348
2334,1498
3763,1179
1160,0
814,783
3532,214
3204,433
2413,1340
4,1259
173,345
750,1090
1868,1480
2565,230
2370,521
3794,1355
1664,637
558,908
1365,321
1527,149
1969,564
3792,560
1555,68
3370,1495
1326,747
2498,634
3503,1533
524,1261
3373,528
3174,1526
154,998
2342,134
1912,225
2006,126
2913,764
1034,962
1166,425
1869,125
1983,832
22,664
1874,1465
2438,1105
1379,197
828,1501
1307,1050
1419,903
3060,968
2731,610
2219,1288
3464,638
3130,1058
258,1317
1948,591
3641,776
1489,523
3660,33
3548,942
446,1477
2199,1333
631,1383
3766,194
2424,1211
2448,130
2358,573
2600,647
26,876
682,1557
2940,1089
3789,267
1591,940
347,112
1439,848
1032,715
3410,699
412,909
2008,1442
3392,1083
3803,1580
368,107
790,963
569,336
2948,1491
1605,548
2977,825
1305,1325
3434,788
2335,728
2342,1332
1377,602
1355,959
1440,574
678,342
219,622
744,1580
2300,668
2130,1472
1186,841
2767,860
1744,598
603,164
1840,1334
3454,1356
498,300
1938,775
3530,529
3281,417
2983,1473
732,354
1487,1203
2301,141
703,320
3281,659
2510,977
824,1244
560,1465
2544,1557
2690,1031
122,628
3011,1057
778,508
3492,703
2689,542
1270,114
2688,507
2145,317
2393,860
1881,1316
1891,667
3488,158
1552,1004
1032,340
2335,715
3048,1135
3447,1544
940,931
1485,403
2116,497
1594,1460
2944,462
47,834
3361,822
1481,574
1955,1303
3207,64
3170,125
1537,932
2104,1389
2433,974
694,454
3575,1463
3534,809
1124,763
3344,706
2552,911
837,700
557,694
742,682
1675,639
3338,224
756,1475
1718,138
1844,1245
597,1175
2941,1306
3125,1438
3401,913
1281,841
791,1040
1944,1330
2908,1291
1794,50
1228,785
180,578
2482,828
2886,1312
1475,667
1297,635
2089,964
1802,778
2110,204
3684,544
2970,530
788,362
1737,946
2591,214
3621,1400
46,880
3505,158
3738,774
204,1492
1136,1430
2582,330
3813,358
1820,327
1055,1303
1566,341
2977,324
2878,154
1376,184
541,1453
1925,72
257,1295
1246,734
3541,101
2435,916
3389,186
3116,710
1585,1439
1642,582
348,470
1007,1543
2775,1273
1198,546
2142,1216
1327,130
2071,123
3811,458
2580,761
1610,1248
473,939
883,936
2444,101
549,311
136,960
1936,1212
3270,89
1579,98
133,465
1833,216
2823,423
1557,478
3815,416
3458,22
2096,1071
1464,227
434,531
595,671
2619,1353
760,109
2397,351
1171,691
3193,1370
1677,543
1991,97
3556,1264
125,988
1760,614
2920,733
1119,1261
523,1054
1266,47
3775,1500
2125,807
3409,45
3146,1327
1332,810
3681,1080
1863,1510
2121,460
728,1358
2370,382
2370,351
1696,1520
2940,1024
147,903
2534,1130
284,1511
2010,914
576,750
331,537
2475,637
150,857
3798,756
1049,428
703,1118
586,629
219,1471
3506,1489
2505,94
599,15
2639,1514
3614,1138
3080,580
1269,1532
457,280
895,142
1029,1253
1198,652
2825,446
3160,283
1004,1503
2081,947
2381,395
1666,1560
2970,695
94,1381
1564,897
2736,196
3342,210
963,1185
2550,589
732,1448
2495,149
897,315
2266,1288
1827,1213
3777,247
751,1122
1012,113
728,331
2218,1375
2407,844
617,810
3283,1067
754,741
3612,1360
2171,565
83,243
3345,1185
443,1387
3376,98
3588,1375
2756,1366
151,435
2763,903
2069,1451
3768,1103
1822,233
3166,939
2717,716
1043,98
881,13
3323,827
3755,1018
2888,783
792,221
3263,1437
3172,1304
3150,1400
3389,847
2685,406
2415,633
1854,761
3394,229
139,1365
569,1108
11,156
1329,76
3157,105
1635,925
3337,31
3417,349
3719,17
1857,837
103,1332
2451,1334
2638,795
3280,1246
3397,450
55,1493
1146,1234
3604,688
1224,1235
3786,1168
3425,1011
197,602
2740,1114
790,469
1172,1362
1075,809
2261,526
2430,1210
3020,1412
