h_entity,t_entity,relation
1844,725,0
4697,685,0
1672,546,0
2815,1043,0
4374,442,0
3001,799,0
2033,621,0
2017,720,0
3110,1225,0
3414,872,0
4178,571,0
3099,242,0
2743,734,0
3593,296,0
2928,364,0
3443,125,0
3304,1166,0
3110,1124,0
4315,660,0
2487,795,0
5357,242,0
3431,206,0
3431,542,0
5351,326,0
4515,340,0
4270,334,0
3242,661,0
4311,242,0
2703,678,0
3552,755,0
2415,1535,0
2311,1345,0
4525,364,0
2323,372,0
2562,1337,0
4226,763,0
5157,841,0
5072,475,0
2209,1305,0
4336,153,0
4076,1287,0
1707,1393,0
3626,951,0
3742,1065,0
4320,872,0
1718,755,0
2266,334,0
2877,1536,0
4946,1043,0
1755,1474,0
3615,639,0
4496,1361,0
4675,101,0
1602,1393,0
3354,848,0
4332,734,0
1734,1118,0
3565,652,0
4722,1567,0
4775,716,0
1923,334,0
1880,1410,0
2162,473,0
3037,1043,0
2967,639,0
3911,348,0
3608,1290,0
1647,679,0
1589,364,0
4334,1292,0
2565,229,0
4933,901,0
3004,1283,0
3226,881,0
5251,323,0
4255,833,0
4268,984,0
5227,140,0
2012,661,0
2598,1165,0
4807,331,0
4958,685,0
2545,1528,0
2305,1344,0
1797,693,0
4022,1043,0
3773,51,0
2257,1545,0
2941,230,0
4503,1412,0
2065,831,0
1737,242,0
1741,748,0
3742,79,0
3718,881,0
2191,1218,0
5292,144,0
3086,561,0
2817,1043,0
4945,295,0
3726,1457,0
3310,1364,0
1627,1173,0
4258,1428,0
3256,313,0
3150,675,0
2768,791,0
2053,224,0
3790,876,0
4376,877,0
1758,1391,0
5158,800,0
5362,1393,0
2067,621,0
4860,561,0
5252,1393,0
3577,1301,0
5118,380,0
5235,621,0
3119,222,0
2027,879,0
3700,243,0
2858,640,0
2528,417,0
4081,288,0
4609,260,0
1944,1043,0
4184,1069,0
3028,235,0
3267,1201,0
4933,311,0
4924,646,0
2758,1013,0
3600,1429,0
3320,806,0
2924,242,0
3155,999,0
5170,182,0
2571,464,0
4154,834,0
4054,1043,0
3505,1118,0
4471,1569,0
2253,554,0
3475,639,0
5206,685,0
2229,561,0
4946,1043,0
4864,741,0
4136,1551,0
4035,560,0
4828,125,0
3881,1151,0
4240,1189,0
4435,1031,0
4322,1329,0
2309,26,0
4931,38,0
2108,1545,0
4883,639,0
2901,1491,0
2566,561,0
5205,200,0
4315,1007,0
3148,171,0
3858,755,0
2710,1358,0
1821,1548,0
4201,569,0
2707,1118,0
1778,1540,0
3259,1576,0
4179,477,0
2343,1390,0
4289,573,0
1723,1118,0
2129,988,0
3862,1294,0
2448,1132,0
3260,725,0
2357,872,0
3720,571,0
2615,639,0
